ID Magasin,Nom Magasin,Statut,Boucherie,Boulangerie,Caviar,Charcuterie & Traiteur,Pizza,Petits Fours,Number & Letter Cakes,Pâtisserie,"Décoration, Vaisselle Jetable",Plateaux de sushis,Plateaux de fromages,Plateaux de fruits de mer,Rôtisserie,Plateaux de fruits et de légumes,Menus Traiteur,Buffets et Cocktails Dînatoires,Salades
1223,Market Rennes - La Poterie,Activé,1,1,0,1,0,1,0,1,1,0,1,1,1,0,1,1,1
1225,Market Riec Sur Bélon,Désactivé,1,1,0,1,0,1,0,1,1,0,1,1,1,0,1,1,1
1226,Market Sées,Désactivé,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1
1227,Market Saint Malo - Pasteur,Désactivé,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1
1228,Market Saint Pierre Montlimart,Désactivé,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1
1229,Market Saint Saëns,Désactivé,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1
1230,Market Thorigné - Fouillard,Activé,1,1,0,1,0,1,0,1,1,0,1,1,1,0,1,1,1
1234,Market Cosne Cours Sur Loire -Lec,Désactivé,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1
1235,Market Cusset - Charmeil,Désactivé,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1
1238,Market Lignières,Désactivé,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1
1239,Market Malesherbes,Désactivé,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1
1240,Market Nevers - Saint Exupery,Désactivé,1,1,0,1,0,1,0,1,1,0,1,1,1,0,1,1,1
1243,Market Albertville - Pierre Du Roy,Activé,0,0,0,1,0,0,0,1,1,0,1,1,1,0,1,1,1
1244,Market Annecy Le Vieux,Activé,0,0,0,1,0,0,0,1,1,0,1,1,1,0,1,1,1
1245,Market Beaurepaire,Désactivé,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1
1249,Market Chauffailles,Désactivé,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1
1250,Market Cluny,Activé,1,1,0,1,0,1,0,1,1,0,1,1,1,0,1,1,1
1251,Market Crémieu,Activé,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,1,1
1252,Market Cruseilles,Activé,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,1,1
1253,Market Culoz,Désactivé,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
1254,Market Divonne Les Bains,Activé,0,0,0,1,0,0,0,1,1,1,1,1,1,0,1,1,1
1255,Market Douvaine - Thonon,Activé,0,0,0,1,0,0,0,1,1,0,1,1,1,0,1,1,1
1256,Market Dunières,Désactivé,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1
1257,Market Faverges,Activé,0,0,0,1,0,0,0,1,1,0,1,1,1,0,1,1,1
1258,Market Gex,Désactivé,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1
1259,Carrefour Grésy Sur Aix,Activé,1,0,0,1,0,0,0,1,1,0,1,1,1,0,1,1,1
1260,Market Groisy,Activé,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,1,1
1261,Market La Roche Sur Foron - Amancy,Activé,0,0,0,1,0,0,0,1,1,0,1,1,1,0,1,1,1
1262,Market La Rochette,Activé,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,1,1
1264,Market Le Coteau,Désactivé,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1
1265,Market Les Rousses,Activé,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,1,1
1266,Market Montbrison,Désactivé,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1
1267,Market Morteau,Activé,1,1,0,1,0,1,0,1,1,0,0,0,1,0,1,1,1
1268,Market Moutiers - Tarentaise,Activé,0,0,0,1,0,0,0,1,1,1,1,1,1,0,1,1,1
1270,Market Renaison - Etangs,Désactivé,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1
1271,Market Roanne,Désactivé,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1
1272,Market Samoëns,Activé,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,1,1
1273,Market Sevrier,Activé,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,1,1
1274,Market Seynod,Activé,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,1,1
1275,Market Seyssel,Activé,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,1,1
1276,Market Saint Clair De La Tour,Activé,0,0,0,1,0,0,0,1,1,0,1,1,1,0,1,1,1
1277,Market Saint Etienne - Normandie,Désactivé,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1
1278,Market Saint Fons,Activé,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1279,Market Saint Genis Pouilly,Désactivé,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1
1281,Market Saint Jean De Maurienne,Activé,0,0,0,1,0,0,0,1,1,0,1,1,1,0,1,1,1
1282,Market Saint Jean De Moirans,Activé,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,1,1
1283,Market Saint Jeoire Prieuré,Désactivé,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,1,1
1284,Market Saint Julien En Genevois l'Hôpital,Désactivé,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1
1285,Market Saint Julien En Genevois - Le Puy Saint Martin,Activé,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,1,1
1288,Market Sainte Sigolene,Désactivé,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1
1289,Market Thônes,Activé,0,0,0,1,0,0,0,1,1,0,1,1,1,0,1,1,1
1290,Market Thonon Les Bains - Ferry,Activé,0,0,0,1,0,0,0,1,1,0,1,1,1,0,1,1,1
1291,Market Tullins,Désactivé,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,1,1
1292,Market Ugine,Activé,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,1,1
1293,Market Vienne,Activé,0,1,0,1,0,1,0,1,1,0,1,0,0,0,1,1,1
1294,Market Villeurbanne - Grand Clément,Désactivé,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1
1295,Market Yenne,Désactivé,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1
1296,Market Aire Sur L'Adour,Désactivé,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1
1297,Market Amendeuix Oneix Saint-Palais,Désactivé,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1
1299,Market Bédarieux,Activé,1,1,0,1,0,1,0,1,1,0,1,1,1,0,1,1,1
1300,Market Bourg Sur Gironde,Désactivé,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1
1301,Market Brantôme,Désactivé,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1
1303,Market Condom,Désactivé,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1
1304,Market Cugnaux,Activé,1,1,0,1,0,1,0,1,1,0,1,1,1,0,1,1,1
1306,Market Gimont,Désactivé,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1
1307,Market Gourdon,Désactivé,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1
1308,Market Ille Sur Têt,Désactivé,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1
1309,Market L'Isle Jourdain,Désactivé,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1
1310,Market La Primaube,Activé,1,1,0,1,0,1,0,1,1,0,1,1,1,0,1,1,1
1312,Market Marmande - 2,Désactivé,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1
1313,Market Millau,Activé,1,1,0,1,0,1,0,1,1,0,1,1,1,0,1,1,1
1315,Market Oloron Sainte Marie,Désactivé,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1
1318,Market Pomarez,Désactivé,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1
1319,Market Prigonrieux,Désactivé,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1
1320,Market Puygouzon,Activé,1,1,0,1,0,1,0,1,1,0,1,1,1,0,1,1,1
1321,Market Rieumes,Désactivé,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1
1323,Market Siorac,Désactivé,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1
1324,Market Saint Affrique,Activé,1,1,0,1,0,1,0,1,1,0,1,1,1,0,1,1,1
1325,Market Saint Cyprien,Désactivé,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1
1328,Market Tarnos - Gerard Philippe,Désactivé,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1
1329,Market Terrasson,Désactivé,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1
1330,Market Toulouse - Compans,Activé,1,1,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0
1331,Market Villeneuve De Marsan,Désactivé,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1
1332,Market Barlin - Verte Plaine,Activé,1,1,0,1,0,1,0,1,1,0,1,1,1,0,1,1,1
1333,Market Bauvin,Désactivé,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1
1336,Market Chaulnes,Désactivé,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1
1337,Market Dechy,Désactivé,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1
1338,Market Guignicourt,Désactivé,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1
1340,Market La Capelle,Activé,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,1,1
1342,Market Laon - Champagne,Désactivé,1,1,0,1,0,1,0,1,1,0,1,1,1,0,1,1,1
1343,Market Lens - Zola,Activé,1,1,0,1,0,1,0,1,1,0,1,1,1,0,1,1,1
1345,Market Maignelay Montigny,Activé,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1
1347,Market Sedan,Désactivé,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1
1350,Market Agde - Moleon,Désactivé,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1
1353,Market Marseille - Belle de Mai,Désactivé,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1
1354,Market Nice - Californie,Désactivé,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1
1355,Market Nîmes - Kennedy,Désactivé,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1
1356,Carrefour Lyon Confluence,Activé,1,1,0,1,0,1,0,1,1,0,1,1,1,0,1,1,1
1357,Carrefour Carcassonne,Activé,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1358,Carrefour Beauvais - Centre,Activé,1,1,0,1,0,1,0,1,1,1,1,1,0,0,1,1,1
1359,Market Tours - Tonnelle,Désactivé,0,1,0,0,0,1,0,1,1,0,1,1,1,0,0,0,0
1360,Market Saint Just - Malmont,Désactivé,1,1,0,1,0,1,0,1,1,0,1,1,1,0,1,1,1
